1;2;19;2;18;1;3;2;;;;;;;;
16;5;18;8;1;16;19;;;;;;;;;
5;3;15;12;15;7;9;3;1;12;;;;;;
19;25;19;2;5;13;19;;;;;;;;;
3;15;14;19;2;18;1;9;14;5;4;;;;;
18;5;19;15;21;18;3;5;19;;;;;;;
16;1;2;3;8;9;12;25;;;;;;;;
4;9;19;2;18;9;2;21;2;5;4;;;;;
2;18;5;5;4;9;14;7;;;;;;;;
19;8;5;12;2;5;18;;;;;;;;;
7;5;14;5;18;1;12;12;25;;;;;;;
1;22;1;9;12;1;2;12;5;;;;;;;
12;15;3;1;2;9;15;14;19;;;;;;;
1;14;9;13;1;12;19;;;;;;;;;
18;5;19;15;21;18;3;5;19;;;;;;;
16;1;2;3;8;25;;;;;;;;;;
18;5;19;15;21;18;3;5;19;;;;;;;
9;14;2;18;15;4;21;3;5;;;;;;;
19;2;18;15;14;7;12;25;;;;;;;;
14;15;14;12;9;14;5;1;18;;;;;;;
3;15;14;19;2;18;1;9;14;2;;;;;;
2;5;8;1;22;9;15;21;18;;;;;;;
